period,town_code,town_name,county_pref,county_name,is_mountain,total_pop,n_source_counties,diversity_entropy,gini_concentration,top1_src_county,top1_src_cnt,top2_src_county,top2_src_cnt,top3_src_county,top3_src_cnt
2018H2,1000803,南投(T03),10008,南投,0,106,15,1.587,0.7182,南投,56,臺中,24,新竹縣,5
2018H2,1001404,臺東(T04),10014,臺東,0,49,11,2.0027,0.475,臺東,17,桃園,7,花蓮,7
2018H2,6600014,臺中(T14),66000,臺中,0,86,12,1.8689,0.5814,臺中,35,南投,12,花蓮,11
2018H2,6500003,新北(T03),65000,新北,0,469,20,2.0396,0.7097,新北,160,臺北,86,宜蘭,57
2018H2,1001511,秀林鄉,10015,花蓮,1,501,15,1.3863,0.7689,花蓮,318,宜蘭,71,桃園,31
2018H2,1000510,苗栗(T10),10005,苗栗,0,75,8,1.1953,0.6683,苗栗,48,新竹縣,10,臺中,9
2018H2,6500016,新北(T16),65000,新北,0,102,14,2.0368,0.5756,新北,35,桃園,19,新竹縣,16
2018H2,1000508,苗栗(T08),10005,苗栗,0,146,11,1.1546,0.7248,苗栗,106,臺中,12,宜蘭,5
2018H2,6400011,高雄(T11),64000,高雄,0,82,12,2.1316,0.4492,高雄,26,南投,12,桃園,9
2018H2,1001707,基隆(T07),10017,基隆,0,97,14,1.841,0.6325,基隆,46,宜蘭,15,桃園,8
2018H2,6600002,臺中(T02),66000,臺中,0,154,12,1.4573,0.7024,臺中,92,南投,22,苗栗,12
2018H2,6600011,臺中(T11),66000,臺中,0,31,7,1.3532,0.553,臺中,18,新竹縣,4,花蓮,4
2018H2,6500021,新北(T21),65000,新北,0,30,8,1.6169,0.5083,新北,13,宜蘭,6,桃園,5
2018H2,1001502,花蓮(T02),10015,花蓮,0,78,12,1.2043,0.703,花蓮,57,臺北,3,桃園,3
2018H2,6500009,新北(T09),65000,新北,0,290,14,1.9818,0.5911,新北,109,桃園,43,宜蘭,33
2018H2,6400003,高雄(T03),64000,高雄,0,140,16,2.0452,0.6161,高雄,56,桃園,18,宜蘭,14
2018H2,6300005,臺北(T05),63000,臺北,0,124,11,1.9633,0.4765,臺北,49,新竹縣,15,新北,12
2018H2,6600019,臺中(T19),66000,臺中,0,97,10,1.423,0.6649,臺中,57,南投,12,花蓮,11
