period,origin,origin_name,dest,dest_name,delta_weight
2017H1,66000,臺中,67000,臺南,1
2017H1,10009,雲林,65000,新北,1
2017H1,64000,高雄,10004,新竹縣,-1
2017H1,10015,花蓮,10004,新竹縣,-1
2017H1,10005,苗栗,10008,南投,-1
2017H1,10008,南投,09020,金門,2
2017H1,10002,宜蘭,10008,南投,-2
2017H1,10013,屏東,68000,桃園,2
2017H1,10018,新竹市,10017,基隆,-1
2017H1,68000,桃園,10013,屏東,3
2017H1,10008,南投,10017,基隆,1
2017H1,10014,臺東,10002,宜蘭,-1
2017H1,10016,澎湖,64000,高雄,-1
2017H1,66000,臺中,64000,高雄,1
2017H1,10017,基隆,65000,新北,-2
2017H1,10005,苗栗,65000,新北,5
2017H1,10018,新竹市,10004,新竹縣,48
2017H1,10005,苗栗,63000,臺北,-2
2017H1,10018,新竹市,66000,臺中,-1
2017H1,10007,彰化,10004,新竹縣,-1
2017H1,63000,臺北,10005,苗栗,1
2017H1,65000,新北,10013,屏東,-1
2017H1,64000,高雄,10013,屏東,-3
2017H1,10002,宜蘭,67000,臺南,1
2017H1,66000,臺中,68000,桃園,17
2017H1,68000,桃園,10015,花蓮,3
2017H1,10004,新竹縣,68000,桃園,9
2017H1,68000,桃園,09020,金門,-2
2017H1,67000,臺南,10013,屏東,2
2017H1,10007,彰化,68000,桃園,4
2017H1,10018,新竹市,10013,屏東,-1
2017H1,10002,宜蘭,64000,高雄,-1
2017H1,10005,苗栗,10009,雲林,1
2017H1,10008,南投,10013,屏東,1
2017H1,65000,新北,10015,花蓮,1
2017H1,68000,桃園,67000,臺南,-1
2017H1,10005,苗栗,66000,臺中,6
2017H1,66000,臺中,10005,苗栗,2
2017H1,66000,臺中,10008,南投,-8
2017H1,10005,苗栗,10002,宜蘭,3
2017H1,10009,雲林,10007,彰化,2
2017H1,10004,新竹縣,10005,苗栗,-1
2017H1,65000,新北,09020,金門,1
2017H1,10013,屏東,10020,嘉義市,-1
2017H1,10002,宜蘭,09007,連江,1
2017H1,10005,苗栗,10014,臺東,-1
2017H1,63000,臺北,10009,雲林,1
2017H1,10015,花蓮,67000,臺南,-2
2017H1,68000,桃園,64000,高雄,-4
2017H1,67000,臺南,10015,花蓮,-1
2017H1,10013,屏東,64000,高雄,-2
2017H1,66000,臺中,65000,新北,-8
2017H1,63000,臺北,66000,臺中,-2
2017H1,66000,臺中,63000,臺北,3
2017H1,10004,新竹縣,65000,新北,1
2017H1,10008,南投,10015,花蓮,-2
2017H1,10005,苗栗,10007,彰化,-1
2017H1,10005,苗栗,10013,屏東,-1
2017H1,63000,臺北,10002,宜蘭,-5
2017H1,66000,臺中,10010,嘉義縣,1
2017H1,10002,宜蘭,10016,澎湖,1
2017H1,10017,基隆,10008,南投,-2
2017H1,10013,屏東,10002,宜蘭,-1
2017H1,10005,苗栗,10018,新竹市,5
2017H1,10020,嘉義市,10004,新竹縣,-1
2017H1,10002,宜蘭,10005,苗栗,-1
2017H1,10015,花蓮,64000,高雄,-4
2017H1,67000,臺南,10004,新竹縣,-2
2017H1,66000,臺中,10009,雲林,3
2017H1,10017,基隆,63000,臺北,2
2017H1,65000,新北,68000,桃園,13
2017H1,10004,新竹縣,10009,雲林,-1
2017H1,68000,桃園,10016,澎湖,1
2017H1,10002,宜蘭,63000,臺北,1
2017H1,63000,臺北,10018,新竹市,-2
2017H1,10015,花蓮,68000,桃園,-4
2017H1,10002,宜蘭,10010,嘉義縣,1
2017H1,10020,嘉義市,68000,桃園,1
2017H1,66000,臺中,10002,宜蘭,-1
2017H1,68000,桃園,10005,苗栗,1
2017H1,68000,桃園,10008,南投,5
2017H1,10018,新竹市,64000,高雄,3
2017H1,10004,新竹縣,10002,宜蘭,-2
2017H1,10009,雲林,66000,臺中,1
2017H1,10007,彰化,64000,高雄,1
2017H1,10008,南投,64000,高雄,-1
2017H1,10016,澎湖,10014,臺東,1
2017H1,66000,臺中,10014,臺東,1
2017H1,10015,花蓮,10016,澎湖,1
2017H1,67000,臺南,68000,桃園,1
2017H1,65000,新北,10005,苗栗,5
2017H1,65000,新北,10008,南投,2
2017H1,10018,新竹市,68000,桃園,13
2017H1,10015,花蓮,10005,苗栗,-3
2017H1,10015,花蓮,10008,南投,1
2017H1,10018,新竹市,09007,連江,1
2017H1,68000,桃園,65000,新北,-2
2017H1,10008,南投,68000,桃園,8
2017H1,66000,臺中,10013,屏東,1
2017H1,66000,臺中,10007,彰化,-1
2017H1,10017,基隆,66000,臺中,1
2017H1,10005,苗栗,10004,新竹縣,-1
2017H1,10004,新竹縣,10007,彰化,2
2017H1,10013,屏東,10010,嘉義縣,2
2017H1,63000,臺北,09020,金門,1
2017H1,66000,臺中,10018,新竹市,-1
2017H1,10017,基隆,10002,宜蘭,-2
2017H1,10004,新竹縣,10018,新竹市,6
2017H1,10014,臺東,10015,花蓮,-1
2017H1,64000,高雄,65000,新北,-1
2017H1,10015,花蓮,65000,新北,-16
2017H1,64000,高雄,63000,臺北,3
2017H1,10015,花蓮,63000,臺北,3
2017H1,10018,新竹市,10005,苗栗,2
2017H1,10018,新竹市,10008,南投,1
2017H1,65000,新北,10010,嘉義縣,2
2017H1,10020,嘉義市,65000,新北,-1
2017H1,10008,南投,10005,苗栗,-1
2017H1,10002,宜蘭,10014,臺東,1
2017H1,68000,桃園,10009,雲林,-1
2017H1,10014,臺東,67000,臺南,-1
2017H1,66000,臺中,10015,花蓮,-1
2017H1,10010,嘉義縣,63000,臺北,-1
2017H1,10017,基隆,10007,彰化,1
2017H1,10004,新竹縣,63000,臺北,-4
2017H1,10002,宜蘭,10007,彰化,1
2017H1,10002,宜蘭,10013,屏東,1
2017H1,10013,屏東,66000,臺中,-1
2017H1,68000,桃園,10002,宜蘭,-3
2017H1,10009,雲林,10015,花蓮,-1
2017H1,66000,臺中,09020,金門,-1
2017H1,10002,宜蘭,10018,新竹市,-2
2017H1,10018,新竹市,65000,新北,5
2017H1,10008,南投,65000,新北,-3
2017H1,10008,南投,63000,臺北,-2
2017H1,65000,新北,10009,雲林,2
2017H1,10008,南投,10010,嘉義縣,-1
2017H1,10015,花蓮,10009,雲林,-1
2017H1,10004,新竹縣,10017,基隆,1
2017H1,68000,桃園,10014,臺東,3
2017H1,10013,屏東,10014,臺東,1
2017H1,64000,高雄,66000,臺中,-1
2017H1,63000,臺北,68000,桃園,8
2017H1,65000,新北,10002,宜蘭,-7
2017H1,10016,澎湖,10004,新竹縣,-1
2017H1,64000,高雄,10002,宜蘭,1
2017H1,10015,花蓮,10002,宜蘭,-3
2017H1,68000,桃園,10007,彰化,1
2017H1,66000,臺中,10004,新竹縣,-4
2017H1,10005,苗栗,10015,花蓮,-1
2017H1,10002,宜蘭,10015,花蓮,7
2017H1,10010,嘉義縣,10004,新竹縣,-1
2017H1,10010,嘉義縣,66000,臺中,1
2017H1,10004,新竹縣,66000,臺中,7
2017H1,68000,桃園,10018,新竹市,4
2017H1,67000,臺南,64000,高雄,-1
2017H1,10014,臺東,68000,桃園,2
2017H1,65000,新北,10014,臺東,1
